review_id,question_id,question_text,paper_id,doi,title,abstract,abstract_available,reviewer_id,reviewed_at,review_status,overall_relevance_grade,overall_reason,needs_fulltext,question_structure_feedback,rubric_version
R5c040ef1a691,Q01,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,https://openalex.org/W4383679937,https://doi.org/10.1145/3563657.3596014,"Design Ideation with AI - Sketching, Thinking and Talking with Generative Machine Learning Models","Generative machine learning models provide opportunities to support design work in various parts of the design process. This study investigates how generative machine learning and large language models may play a part in creative design processes of ideation, early prototyping and sketching. A workshop was conducted in which design practitioners and design researchers developed design concepts for a provided design case, with the help of GPT-3. The findings point to three main themes, including i) the practical usefulness and limitations of the system in design ideation processes, ii) how the form of user interaction shapes users’ expectations of the system’s capabilities and potentials, and iii), how the broader discourse around AI both limits and enables how co-creative processes involving human and AI unfolds. The discussion outlines design implications and alternative framings of this kind of co-creative design practices based on post-human perspectives on design and technology use.",True,,,NOT_REVIEWED,,,,,0.1
R90d027489e81,Q01,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,https://openalex.org/W4401889575,https://doi.org/10.3390/su16177262,AI Technology Integrated Education Model for Empowering Fashion Design Ideation,"The rapidly increasing importance of technology integration and generative AI in the fashion industry is prompting changes in fashion design education. This study explored a new design methodology utilizing AI for sustainable and future-oriented fashion design education. The methodology involved consulting practitioners to select ChatGPT and Midjourney as AI tools and technology, pedagogy, and content knowledge (TPACK) as the theoretical framework. An AI prompt guide was developed based on specialized books, from which an educational program was created. An experiment with 30 third- and fourth-year fashion design students showed that their overall satisfaction with AI through TPACK was 4 out of 5, suggesting that TPACK enhances students’ creativity and efficiency through generative AI. Prompt guides received a satisfaction score of 4.7, indicating their usefulness for creative and efficient design outputs. AI-powered educational programs, like ChatGPT and Midjourney, also improved student creativity and learning efficiency, with ChatGPT scoring 4.5. However, concerns about technology dependency were noted. This study offers insights into integrating the latest technology into fashion design to improve process efficiency and creative output. This study not only provides a foundation for future research on AI design methodology but also explores practical directions for sustainable design in the fashion industry.",True,,,NOT_REVIEWED,,,,,0.1
R6e3776fceb4f,Q01,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,https://openalex.org/W4366729084,https://doi.org/10.1145/3544548.3580907,AngleKindling: Supporting Journalistic Angle Ideation with Large Language Models,"News media often leverage documents to find ideas for stories, while being critical of the frames and narratives present. Developing angles from a document such as a press release is a cognitively taxing process, in which journalists critically examine the implicit meaning of its claims. Informed by interviews with journalists, we developed AngleKindling, an interactive tool which employs the common sense reasoning of large language models to help journalists explore angles for reporting on a press release. In a study with 12 professional journalists, we show that participants found AngleKindling significantly more helpful and less mentally demanding to use for brainstorming ideas, compared to a prior journalistic angle ideation tool. AngleKindling helped journalists deeply engage with the press release and recognize angles that were useful for multiple types of stories. From our findings, we discuss how to help journalists customize and identify promising angles, and extending AngleKindling to other knowledge-work domains.",True,,,NOT_REVIEWED,,,,,0.1
R1696c668057c,Q01,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,https://openalex.org/W4384520713,https://doi.org/10.1145/3571884.3603756,Generative AI Considered Harmful,"The recent months have seen an explosion of interest, hype, and concern about generative AI, driven by the release of ChatGPT. In this article I seek to explicate some potential and actual harms of the engineering and use of generative AI such as ChatGPT. With this I also suggest a reframing for researchers with an interest in interaction. With this reframing I seek to provoke researchers to consider studying the settings of ChatGPT development and use as active sites of production. Research should focus on the organisational, technological and interactional practices and contexts in and through which generative AI and its outputs—harmful and otherwise—are produced, by whom, to what end, and with what consequences on societies.",True,,,NOT_REVIEWED,,,,,0.1
R099e652816e5,Q01,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,https://openalex.org/W4387628939,https://doi.org/10.1145/3582269.3615596,DesignAID: Using Generative AI and Semantic Diversity for Design Inspiration,"Designers often struggle to sufficiently explore large design spaces, which can lead to design fixation and suboptimal outcomes. Here we introduce DesignAID, a generative AI tool that supports broader design space exploration by first using large language models to produce a range of diverse ideas expressed in words, and then using image generation software to create images from these words. This innovative combination of AI-based capabilities allows human-computer pairs to rapidly create a diverse set of visual concepts without time-consuming drawing. In a study with 87 crowd-sourced designers, we found that designers rated the automatic generation of images from words as significantly more inspirational, enjoyable, and useful than a conventional baseline condition of image search using Pinterest. Surprisingly, however, we found that automatically generating highly diverse ideas had less value. For image generation, the high diversity condition was somewhat better in inspiration but no better in the other dimensions, and for image search it was significantly worse in all dimensions.",True,,,NOT_REVIEWED,,,,,0.1
Raf245ecd96d8,Q01,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,https://openalex.org/W4401867536,https://doi.org/10.1007/s11747-024-01044-7,Generative AI in innovation and marketing processes: A roadmap of research opportunities,"Abstract Nowadays, we are witnessing the exponential growth of Generative AI (GenAI), a group of AI models designed to produce new content. This technology is poised to revolutionize marketing research and practice. Since the marketing literature about GenAI is still in its infancy, we offer a technical overview of how GenAI models are trained and how they produce content. Following this, we construct a roadmap for future research on GenAI in marketing, divided into two main domains. The first domain focuses on how firms can harness the potential of GenAI throughout the innovation process. We begin by discussing how GenAI changes consumer behavior and propose research questions at the consumer level. We then connect these emerging consumer insights with corresponding firm marketing strategies, presenting research questions at the firm level. The second set of research questions examines the likely consequences of using GenAI to analyze: (1) the relationship between market-based assets and firm value, and (2) consumer skills, preferences, and role in marketing processes.",True,,,NOT_REVIEWED,,,,,0.1
R5567f85c238c,Q01,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,https://openalex.org/W4396827179,https://doi.org/10.1145/3613904.3642114,User Experience Design Professionals’ Perceptions of Generative Artificial Intelligence,"Among creative professionals, Generative Artificial Intelligence (GenAI) has sparked excitement over its capabilities and fear over unanticipated consequences. How does GenAI impact User Experience Design (UXD) practice, and are fears warranted? We interviewed 20 UX Designers, with diverse experience and across companies (startups to large enterprises). We probed them to characterize their practices, and sample their attitudes, concerns, and expectations. We found that experienced designers are confident in their originality, creativity, and empathic skills, and find GenAI’s role as assistive. They emphasized the unique human factors of “enjoyment” and “agency”, where humans remain the arbiters of “AI alignment’’. However, skill degradation, job replacement, and creativity exhaustion can adversely impact junior designers. We discuss implications for human-GenAI collaboration, specifically copyright and ownership, human creativity and agency, and AI literacy and access. Through the lens of responsible and participatory AI, we contribute a deeper understanding of GenAI fears and opportunities for UXD.",True,,,NOT_REVIEWED,,,,,0.1
R72890a2c3590,Q01,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,https://openalex.org/W4400113154,https://doi.org/10.1109/mipro60963.2024.10569541,Enhancing Creativity in Sustainable Product Design: The Impact of Generative AI Tools at the Conceptual Stage,"The study investigates the impact of generative artifitial intelligence (AI) tools, in particular Vizcom, on the creativity of product design students working on “green and sustainable“ projects. We focused on the concept design stage, where we conducted a controlled experiment to assess the changes in creativity metrics, such as ideation diversity and novelty, when students use AI-assisted design support. At the same time, qualitative data has been collected through participant surveys, interviews and observational analyses to gain insights into stuednts’ experiences. Preliminary results indicate a significant positive correlation between the use of generative AI tools and increased creativity in sustainable product design. The integration of Vizcom in the conceptualisation phase not only accelerated the ideation process, but also promoted innovative solutions that are in line with environmental goals. These results emphasise the potential of AI-driven tools to support students in developing innovative, environmentally conscious designs and thus advance education in the field of sustainable product design.",True,,,NOT_REVIEWED,,,,,0.1
R9f0c462e5ad3,Q01,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,https://openalex.org/W4403424095,https://doi.org/10.1145/3677102,Sketchar: Supporting Character Design and Illustration Prototyping Using Generative AI,"Character design in games involves interdisciplinary collaborations, typically between designers who create the narrative content, and illustrators who realize the design vision. However, traditional workflows face challenges in communication due to the differing backgrounds of illustrators and designers, the latter with limited artistic abilities. To overcome these challenges, we created Sketchar, a Generative AI (GenAI) tool that allows designers to prototype game characters and generate images based on conceptual input, providing visual outcomes that can give immediate feedback and enhance communication with illustrators' next step in the design cycle. We conducted a mixed-method study to evaluate the interaction between game designers and Sketchar. We showed that the reference images generated in co-creating with Sketchar fostered refinement of design details and can be incorporated into real-world workflows. Moreover, designers without artistic backgrounds found the Sketchar workflow to be more expressive and worthwhile. This research demonstrates the potential of GenAI in enhancing interdisciplinary collaboration in the game industry, enabling designers to interact beyond their own limited expertise.",True,,,NOT_REVIEWED,,,,,0.1
R0dfbd0bcacd5,Q01,생성형 AI가 UX 디자이너의 아이디어 다양성에 미치는 영향,https://openalex.org/W4389992156,https://doi.org/10.3390/su16010065,From Image to Imagination: Exploring the Impact of Generative AI on Cultural Translation in Jewelry Design,"The current proliferation of artificial intelligence (AI) is prominently shaping the design industry. Generative AI, such as text-to-image and image-to-image models, has gained widespread use, notably for its efficiency and quality improvements. However, their potential to aid in cultural translation within creative design is underexplored. To address the existing gap, this study aims to assess the impact of generative AI on cultural translation within jewelry design. Specifically, a comprehensive study was conducted through a design-action experiment, collecting 46 student designers’ design-action data and self-reports, and enlisting the evaluation from 30 design experts. The findings highlight the substantial influence of generative AI on the ideation phase of jewelry design, especially in depth rather than breadth, and in the shape factor at the technical level such as detailization and unexpected composition. Leveraging AI image generators has shifted the designer’s focus from technical tasks to strategic decisions related to visual appeal, cognitive engagement, and emotional resonance. Furthermore, the challenges inherent in human–AI collaboration have been revealed, stemming from communication difficulties and the risk of fixating on specific details to stylistic constraints. Based on data analysis, a novel hybrid model regarding human–AI co-creation on cultural translation in jewelry design is proposed. Overall, this current study offers a valuable reference point to future research in terms of examining the effect of emerging technologies on cultural translation in creative fields.",True,,,NOT_REVIEWED,,,,,0.1
